Secteurs géographiques;Numéro du quartier;Nom du quartier;Nombre de pièces principales;Epoque de construction;Type de location;Loyers de référence;Loyers de référence majorés;Loyers de référence minorés;Année;Ville;Numéro INSEE du quartier
4;11;Archives;2;Avant 1946;meublé;31.6;37.92;22.12;2021;PARIS;7510311
4;11;Archives;4;1971-1990;meublé;25.1;30.12;17.57;2021;PARIS;7510311
10;44;Sainte-Marguerite;3;1946-1970;non meublé;21.3;25.56;14.91;2021;PARIS;7511144
2;24;Saint-Germain-des-Prés;3;1971-1990;non meublé;23.1;27.72;16.17;2021;PARIS;7510624
2;24;Saint-Germain-des-Prés;4;1946-1970;non meublé;23.2;27.84;16.24;2021;PARIS;7510624
6;58;Necker;4;1946-1970;non meublé;21.9;26.28;15.33;2021;PARIS;7511558
5;2;Halles;2;1971-1990;meublé;25.3;30.36;17.71;2021;PARIS;7510102
5;36;Rochechouart;3;1971-1990;meublé;23.4;28.08;16.38;2021;PARIS;7510936
2;5;Gaillon;4;Avant 1946;non meublé;25.8;30.96;18.06;2021;PARIS;7510205
4;8;Bonne-Nouvelle;1;Avant 1946;meublé;35.4;42.48;24.78;2021;PARIS;7510208
11;71;Goutte-d'Or;2;1971-1990;meublé;26.2;31.44;18.34;2021;PARIS;7511871
13;75;Amérique;4;Avant 1946;meublé;23.0;27.6;16.1;2021;PARIS;7511975
5;33;Saint-Georges;3;Apres 1990;non meublé;23.5;28.2;16.45;2021;PARIS;7510933
11;77;Belleville;4;1946-1970;meublé;24.2;29.04;16.94;2021;PARIS;7512077
13;78;Saint-Fargeau;2;Avant 1946;meublé;25.2;30.24;17.64;2021;PARIS;7512078
2;16;Notre-Dame;3;1971-1990;non meublé;23.1;27.72;16.17;2021;PARIS;7510416
5;35;Faubourg-Montmartre;4;1971-1990;meublé;24.8;29.76;17.36;2021;PARIS;7510935
10;18;Jardin-des-Plantes;1;1971-1990;non meublé;27.0;32.4;18.9;2021;PARIS;7510518
